Oil	CPI	Rate	SP500
-8.3178	0.1228	-0.1500	-0.0027
3.2272	0.1226	-0.0400	4.2559
-5.0662	0.1225	-0.1200	-7.3500
10.9583	0.1223	-0.5300	-5.1537
-3.8662	0.2442	-0.2800	1.1524
-10.6437	0.0000	0.3000	10.2953
-13.5732	-0.0610	-0.1800	3.9089
9.8110	0.2438	0.0700	4.8164
-4.1588	0.1217	0.2800	-0.1755
20.0746	0.3035	0.2300	2.7752
16.4798	0.7246	-0.0500	4.0595
2.3410	0.0000	0.3600	-0.2017
1.1223	0.0000	0.3600	-0.7172
11.4802	0.3004	-0.1100	4.3239
5.7048	0.2397	0.1500	-3.9511
11.1918	0.4776	-0.0200	-0.7046
-4.7761	0.1785	0.1900	-1.3872
9.6952	0.0594	-0.0800	6.7651
4.3059	0.0000	0.2500	2.6728
4.3485	0.2966	0.3800	-0.2165
7.4553	0.5907	-0.1400	-2.6095
1.5876	0.8211	-0.2600	3.7686
-14.8581	0.0584	-0.2700	1.3191
11.2759	0.1167	0.4500	-2.9782
10.0067	0.5234	-0.3400	3.0192
-6.8948	0.2317	-0.0500	0.7523
5.1192	0.0000	-0.2200	0.8423
8.0486	0.5195	-0.0300	-1.1789
-2.2990	0.1726	-0.0600	-5.4531
3.8802	0.0575	-0.0200	-0.8742
-19.0841	-0.0575	-0.4800	-3.4784
3.9640	0.6302	-0.0800	0.3525
0.0676	0.3990	-0.0600	-2.2626
-8.3059	0.2273	-0.2100	-9.6318
0.8769	0.3965	0.2500	0.3359
4.0633	0.4512	0.2500	6.5489
-3.6639	0.1687	-0.1100	-2.5238
-4.3316	-0.2813	-0.0400	-2.8047
3.4948	0.0000	-0.2700	-2.1781
-4.3688	0.4497	-0.2400	-12.0570
-16.7019	-0.3371	-0.1600	3.0126
-12.1172	-0.1690	0.0800	4.8136
-1.2811	-0.3954	0.4400	1.3409
1.6876	0.2261	-0.0500	-0.4131
4.9466	0.3945	-0.1300	-3.5293
16.8797	0.5609	0.3700	4.7133
6.5099	0.5577	-0.0700	-3.6955
3.2321	0.0000	-0.0500	-2.9831
-5.7855	0.0556	-0.2300	-6.2344
5.5263	0.1111	-0.2800	-11.5302
5.1312	0.3326	-0.3900	0.9867
4.3762	0.1659	-0.3900	-5.0270
-2.8036	0.1656	0.0700	-1.5304
-9.0295	0.0000	0.1100	6.2699
11.1565	-0.2209	-0.0200	-1.1884
11.1958	0.4413	0.0200	-0.3721
8.3794	0.7675	-0.1500	-6.7902
-6.6942	0.5990	-0.0900	1.1404
-17.3586	-0.2174	0.1500	4.9991
-0.2132	-0.1634	-0.3900	5.0318
8.6833	0.1089	-0.2400	5.4110
0.3256	0.1088	0.6500	0.4585
2.5992	0.3799	0.4700	-0.3037
-10.8992	0.3245	-0.1800	2.9779
6.9252	-0.1080	0.0200	1.8745
2.5062	-0.2706	0.0100	1.0696
3.2261	-0.1085	-0.0300	2.8859
6.5647	0.4871	-0.1200	4.6892
1.1015	0.5385	-0.0700	0.9526
5.7415	0.6424	-0.2500	-1.7095
0.0272	0.3197	0.5200	0.8311
9.1717	0.5834	0.3700	-2.7352
-5.7480	0.3168	0.0100	2.6823
6.9816	-0.1583	-0.2300	-2.4043
9.6246	0.0528	-0.2200	-1.5410
2.2898	0.2109	-0.1500	2.6032
14.8225	0.5252	-0.0300	-0.0403
-9.4616	0.0524	0.0900	4.5263
-11.6263	-0.3672	0.0400	2.5566
8.2055	0.2100	-0.0100	-1.4954
2.7584	0.5752	-0.0500	1.5305
11.8175	0.7790	0.3300	-0.3951
-2.2582	0.6703	-0.1600	-2.5831
-6.1297	-0.1028	-0.2000	1.1824
12.2965	0.0514	-0.1400	2.0139
4.5955	0.4617	0.1800	1.6490
9.6696	0.5105	0.0800	0.1660
0.9190	1.2146	-0.0600	0.1347
-5.2104	0.2010	0.2600	-2.8093
-6.5374	-0.8065	0.0800	3.7389
1.8517	-0.4057	-0.0700	1.9765
9.7435	0.7593	-0.0500	1.3114
-6.0749	0.2015	0.1500	-0.1628
1.7053	0.5521	0.1500	1.3298
10.2261	0.8473	0.2700	0.6495
1.9961	0.4951	0.1200	-0.9382
0.1552	0.1973	0.0000	-2.8974
4.7615	0.2953	-0.0200	0.5626
-1.8583	0.1964	-0.2100	2.1128
-13.5254	-0.4916	-0.1600	2.3488
-8.0082	-0.5436	0.0100	3.4049
0.3221	-0.1488	-0.1300	1.8358
4.7597	0.1488	-0.0400	1.9808
-12.8105	0.3068	0.2000	0.5450
8.3888	0.5321	-0.0400	1.4389
1.9379	0.9050	-0.1600	-2.6547
5.6919	0.6504	0.1300	3.9502
-0.8161	0.6078	0.0600	3.1938
6.1570	0.1922	0.3500	0.2016
9.3706	-0.0240	-0.1000	0.4297
-2.4032	-0.1826	-0.3300	-4.4433
9.9372	0.2738	-0.1500	2.8799
7.0993	0.2156	0.0100	2.8018
9.9434	0.5917	-0.3800	-5.0806
-3.3040	-0.0666	-0.0500	1.0759
1.3864	0.4939	-0.3600	-7.0330
2.5697	0.2886	0.0000	-1.7479
10.0263	0.8654	-0.2300	-2.8395
6.5427	0.6023	0.1700	3.9843
10.7845	0.8390	0.2000	2.3616
6.5435	1.0013	0.2200	-4.5168
-0.3817	0.5242	-0.0900	-6.4612
-13.3778	-0.3963	-0.1200	1.9017
-11.3901	-0.1416	-0.2000	-5.1660
-30.6720	-1.0153	0.1200	-22.8045
-29.0252	-1.9301	-0.2800	-9.2688
-33.1981	-1.0410	-1.1100	-0.6225
1.4246	0.4319	0.1000	-1.3746
-6.4874	0.4961	0.3500	-7.2272
20.4084	0.2448	-0.0500	-6.1593
3.5048	0.2489	0.1100	11.3523
17.3047	0.2903	0.3600	6.2011
16.5293	0.8521	0.4300	2.5935
-8.2115	-0.1578	-0.1600	1.0419
10.2160	0.2226	0.0300	7.6015
-2.3353	0.0648	-0.1900	3.3903
8.7011	0.0972	-0.0100	2.1883
2.9538	0.0694	0.0100	1.8936
-4.6184	-0.1758	0.1900	2.0297
5.0534	0.3421	0.1400	1.1818
-2.5079	0.0231	-0.0400	-3.1113
6.1063	0.4098	0.0400	5.6136
3.7348	0.1745	0.1200	3.8543
-13.3718	0.0779	-0.4300	-6.2249
2.1466	-0.0963	-0.2200	-3.7769
1.2924	0.0183	-0.1900	-0.3291
0.3662	0.1375	-0.3100	0.6903
-1.7914	0.0595	-0.0500	3.1505
8.4694	0.1235	-0.1100	4.3169
2.8412	0.0411	0.2200	2.3043
5.6532	0.1735	0.5300	3.4948
0.0224	0.4734	0.1000	3.2560
-0.6639	0.4937	0.1900	2.9575
14.9463	0.9713	-0.1700	-1.2668
